GeneSymbol	Description	Organism	Chromosome	Locus	TCGA-AF-2691-01A.41	TCGA-AF-2692-01A.41	TCGA-AF-3400-01A.41	TCGA-AF-3913-01A.12	TCGA-AG-3574-01A.22	TCGA-AG-3580-01A.22	TCGA-AG-3584-01A.22	TCGA-AG-3593-01A.22	TCGA-AG-3594-01A.12	TCGA-AG-4007-01A.22	TCGA-AG-A002-01A.23	TCGA-AG-A008-01A.23	TCGA-AG-A00C-01A.23	TCGA-AG-A00H-01A.22	TCGA-AG-A00H-01A.31	TCGA-AG-A00Y-01A.12	TCGA-AG-A011-01A.32	TCGA-AG-A014-01A.12	TCGA-AG-A015-01A.51	TCGA-AG-A016-01A.23	TCGA-AG-A01J-01A.22	TCGA-AG-A01L-01A.22	TCGA-AG-A01N-01A.23	TCGA-AG-A01W-01A.23	TCGA-AG-A01Y-01A.43	TCGA-AG-A020-01A.23	TCGA-AG-A026-01A.71	TCGA-AG-A02N-01A.31	TCGA-AG-A02X-01A.32	TCGA-AG-A032-01A.31	TCGA-AG-A036-01A.22
STAM	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	Homo sapiens	10	10p14-p13	0	2	1	2	6	2	2	0	2	0	5	2	0	2	3	2	0	4	2	4	2	3	1	1	2	0	3	0	0	0	3
STAM2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2	Homo sapiens	2	2q23.3	2	2	0	0	1	1	2	0	0	1	1	0	0	2	3	1	1	0	1	1	1	0	5	0	0	0	0	1	0	1	3
STAMBP	STAM binding protein	Homo sapiens	2	2p13.1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	2	1	1	0	2	0	0	0	0	0	0	0	2
STAMBPL1	STAM binding protein-like 1	Homo sapiens	10	10q23.31	0	0	0	0	3	2	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
STAP2	signal transducing adaptor family member 2	Homo sapiens	19	19p13.3	0	4	0	0	0	0	2	0	1	1	0	0	0	0	1	4	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0
STARD10	StAR-related lipid transfer (START) domain containing 10	Homo sapiens	11	11q13	0	4	5	7	5	6	7	6	6	8	3	8	2	4	7	6	5	2	5	6	5	3	11	5	0	2	7	4	1	3	4
STARD9	StAR-related lipid transfer (START) domain containing 9	Homo sapiens	15	15q15.2	0	1	0	0	0	0	1	0	0	1	0	3	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
STAT1	signal transducer and activator of transcription 1, 91kDa	Homo sapiens	2	2q32.2	16	36	12	23	70	32	37	38	95	26	15	24	20	31	21	53	21	13	16	9	34	16	17	21	39	15	23	28	8	20	28
STAT2	signal transducer and activator of transcription 2, 113kDa	Homo sapiens	12	12q13.3	2	3	2	1	3	4	2	1	6	4	2	2	1	2	2	3	2	2	1	3	5	3	0	1	0	1	1	1	1	0	2
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	Homo sapiens	17	17q21.31	5	19	11	10	12	21	17	18	22	6	6	17	6	20	20	20	20	16	13	7	15	12	13	9	16	10	16	16	6	5	6
STAT5A	signal transducer and activator of transcription 5A	Homo sapiens	17	17q11.2	1	2	0	0	0	2	0	1	1	1	0	0	1	2	2	0	2	2	0	1	2	0	0	1	2	1	0	2	1	1	2
STAT5B	signal transducer and activator of transcription 5B	Homo sapiens	17	17q11.2	0	2	0	0	0	1	1	0	1	0	1	0	0	2	1	2	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	Homo sapiens	12	12q13	0	2	0	1	2	0	3	0	2	2	0	0	0	0	3	2	3	1	4	0	1	1	1	0	4	1	0	0	0	0	0
STAU1	staufen double-stranded RNA binding protein 1	Homo sapiens	20	20q13.1	10	5	2	9	3	6	8	5	3	7	5	4	5	1	11	7	3	9	5	9	5	6	11	5	2	4	12	4	4	5	4
STAU2	staufen double-stranded RNA binding protein 2	Homo sapiens	8	8q21.11	1	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	0	0	0
STBD1	starch binding domain 1	Homo sapiens	4	4q21.1	0	0	0	1	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
STIM1	stromal interaction molecule 1	Homo sapiens	11	11p15.5	2	5	2	1	3	1	1	2	3	2	1	0	1	3	2	5	2	0	0	1	0	0	2	2	1	1	1	2	0	0	1
STIP1	stress-induced phosphoprotein 1	Homo sapiens	11	11q13	9	33	14	31	36	24	26	33	22	9	15	20	12	22	31	38	31	43	31	19	16	21	34	19	41	28	26	24	13	17	20
STK10	serine/threonine kinase 10	Homo sapiens	5	5q35.1	1	3	6	2	1	3	1	3	4	3	3	2	2	6	5	6	2	3	1	2	2	0	2	2	0	3	2	1	1	2	2
STK11IP	serine/threonine kinase 11 interacting protein	Homo sapiens	2	2q35	0	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
STK24	serine/threonine kinase 24	Homo sapiens	13	13q31.2-q32.3	6	4	3	6	2	3	6	3	2	5	2	6	5	3	6	6	5	9	6	5	2	3	4	3	4	3	7	4	3	4	4
STK3	serine/threonine kinase 3	Homo sapiens	8	8q22.2	3	2	1	1	1	0	1	1	1	1	2	1	1	1	1	2	1	0	1	1	2	0	2	0	1	0	0	2	0	0	2
STK38	serine/threonine kinase 38	Homo sapiens	6	6p21	0	0	0	0	0	2	2	0	0	1	1	1	2	0	1	1	0	0	0	1	1	2	1	0	0	1	2	0	0	0	0
STK39	serine threonine kinase 39	Homo sapiens	2	2q24.3	1	7	3	7	5	3	3	3	4	5	2	8	6	3	3	3	5	4	7	4	4	4	4	5	2	7	3	3	4	6	4
STK4	serine/threonine kinase 4	Homo sapiens	20	20q11.2-q13.2	1	1	2	0	1	0	0	0	0	2	1	2	3	3	0	2	1	2	0	2	2	1	1	1	3	2	0	0	1	0	5
STMN1	stathmin 1	Homo sapiens	1	1p36.11	3	5	4	1	11	1	3	5	6	0	4	8	5	2	6	11	8	6	8	6	2	7	9	3	2	12	5	4	4	4	6
STOM	stomatin	Homo sapiens	9	9q34.1	8	16	21	17	12	14	14	12	23	12	13	9	4	33	14	11	16	18	6	10	20	7	30	8	21	8	10	8	7	4	17
STOML2	stomatin (EPB72)-like 2	Homo sapiens	9	9p13.1	19	13	18	17	10	14	16	11	15	8	13	20	13	14	13	16	15	20	14	10	9	16	21	11	8	13	14	17	5	14	7
STRAP	serine/threonine kinase receptor associated protein	Homo sapiens	12	12p12.3	4	17	9	11	16	15	12	14	16	6	10	14	12	17	21	14	12	23	18	9	10	13	13	10	15	11	17	13	7	13	11
STRBP	spermatid perinuclear RNA binding protein	Homo sapiens	9	9q33.3	2	2	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0
STRIP1	striatin interacting protein 1	Homo sapiens	1	1p13.3	0	2	0	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0
STRN	striatin, calmodulin binding protein	Homo sapiens	2	2p22.2	4	1	1	2	7	3	3	5	2	4	4	4	5	5	3	5	6	6	2	8	5	2	7	2	1	2	1	6	2	5	6
STRN3	striatin, calmodulin binding protein 3	Homo sapiens	14	14q13-q21	1	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	0	1
STRN4	striatin, calmodulin binding protein 4	Homo sapiens	19	19q13.2	2	0	1	0	0	0	0	1	1	1	0	0	2	0	3	3	2	3	2	4	0	1	3	1	0	1	0	4	1	1	1
STT3A	STT3A, subunit of the oligosaccharyltransferase complex (catalytic)	Homo sapiens	11	11q23.3	5	5	11	8	6	4	10	9	14	8	4	8	4	8	11	16	9	8	15	5	4	15	11	6	8	4	7	10	5	5	9
STT3B	STT3B, subunit of the oligosaccharyltransferase complex (catalytic)	Homo sapiens	3	3p23	8	11	3	8	5	6	5	7	5	8	2	6	3	4	11	13	8	6	10	8	4	10	7	4	3	7	9	5	4	3	5
STUB1	STIP1 homology and U-box containing protein 1, E3 ubiquitin protein ligase	Homo sapiens	16	16p13.3	1	2	1	1	7	2	2	1	1	0	1	3	1	1	2	3	1	3	3	4	0	4	2	1	0	2	0	1	2	1	2
STX12	syntaxin 12	Homo sapiens	1	1p35.3	1	8	6	6	8	5	6	5	9	4	3	1	0	7	9	7	5	5	7	5	5	3	8	4	5	3	7	7	2	3	8
STX16	syntaxin 16	Homo sapiens	20	20q13.32	2	3	1	2	0	1	2	1	1	0	0	1	0	0	3	4	0	0	2	0	0	2	1	1	0	0	4	0	0	1	1
STX18	syntaxin 18	Homo sapiens	4	4p16.3-p16.2	0	2	0	0	1	2	1	0	1	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0
STX3	syntaxin 3	Homo sapiens	11	11q12.1	2	1	0	0	0	0	0	4	0	0	0	0	1	0	1	1	1	0	1	1	0	0	2	0	0	0	2	2	0	0	2
STX4	syntaxin 4	Homo sapiens	16	16p11.2	2	3	1	3	1	1	3	2	3	2	0	3	2	2	4	5	4	4	2	2	2	2	2	3	3	0	2	1	1	1	4
STX5	syntaxin 5	Homo sapiens	11	11q12.3	2	1	0	0	1	0	0	0	3	2	1	0	0	1	4	2	1	1	1	0	0	0	2	2	0	0	1	1	0	0	0
STX6	syntaxin 6	Homo sapiens	1	1q25.3	1	2	0	1	0	0	0	1	0	1	0	2	0	0	1	3	1	0	3	1	0	0	3	1	0	1	3	2	1	2	1
STX7	syntaxin 7	Homo sapiens	6	6q23.1	5	6	6	8	7	5	4	7	9	4	5	10	4	7	8	11	7	5	9	4	3	7	7	4	6	7	8	7	8	8	5
STX8	syntaxin 8	Homo sapiens	17	17p12	0	1	2	0	1	0	0	2	1	0	2	1	0	0	2	1	2	2	1	0	1	0	0	1	0	3	0	2	0	0	1
STXBP1	syntaxin binding protein 1	Homo sapiens	9	9q34.1	0	3	3	0	2	0	2	1	5	2	2	0	0	1	2	2	0	0	1	2	2	0	1	0	3	0	0	1	1	1	2
STXBP2	syntaxin binding protein 2	Homo sapiens	19	19p13.3-p13.2	0	3	2	1	0	2	4	5	7	1	3	4	0	5	3	4	7	2	3	1	3	2	4	5	1	3	4	2	2	3	3
STXBP3	syntaxin binding protein 3	Homo sapiens	1	1p13.3	5	3	5	2	3	2	7	0	4	6	3	5	4	4	9	5	4	7	6	5	8	8	7	1	5	4	2	3	3	1	5
STXBP5	syntaxin binding protein 5 (tomosyn)	Homo sapiens	6	6q24.3	0	2	1	1	1	0	2	0	3	1	2	0	1	2	3	0	1	1	3	1	1	1	2	1	0	1	0	3	2	0	0
SUB1	SUB1 homolog (S. cerevisiae)	Homo sapiens	5	5p13.3	3	14	9	8	7	17	8	6	12	2	3	17	7	8	25	26	14	18	50	6	12	12	16	8	6	16	18	13	14	7	8
SUCLA2	succinate-CoA ligase, ADP-forming, beta subunit	Homo sapiens	13	13q12.2-q13.3	11	10	7	18	3	12	7	15	7	12	8	12	8	8	18	34	10	19	15	12	13	17	21	6	8	5	13	10	2	11	11
SUCLG1	succinate-CoA ligase, alpha subunit	Homo sapiens	2	2p11.2	8	25	8	19	16	16	16	20	18	15	9	28	12	17	24	34	16	18	25	18	24	18	30	13	11	4	35	14	6	17	10
SUCLG2	succinate-CoA ligase, GDP-forming, beta subunit	Homo sapiens	3	3p14.1	10	45	11	19	18	21	26	38	27	23	14	34	25	25	42	45	30	25	29	15	33	26	46	18	14	12	42	32	12	20	19
SUGP1	SURP and G patch domain containing 1	Homo sapiens	19	19p13.11	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	1	0
SUGP2	SURP and G patch domain containing 2	Homo sapiens	19	19p12	0	2	0	1	0	0	2	0	0	0	1	1	1	0	1	2	0	0	1	0	0	0	1	0	0	1	3	0	0	1	0
SUGT1	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)	Homo sapiens	13	13q14.3	2	11	2	11	0	8	4	5	3	3	2	9	8	5	7	19	8	16	10	8	0	4	6	2	4	3	8	8	2	7	5
SULF1	sulfatase 1	Homo sapiens	8	8q13.1	0	4	3	2	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	2	1	1	1	0	0	0	0	0	0	0	4
SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1	Homo sapiens	16	16p12.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
SULT1A3	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3	Homo sapiens	16	16p11.2	0	4	1	2	0	8	3	2	4	1	7	8	8	4	7	6	8	10	7	0	5	12	3	6	0	10	6	4	3	8	1
SULT1B1	sulfotransferase family, cytosolic, 1B, member 1	Homo sapiens	4	4q13.3	0	10	2	0	0	3	15	0	16	0	2	3	0	7	19	9	3	1	8	0	5	6	5	2	0	0	2	0	4	1	1
SULT1C2	sulfotransferase family, cytosolic, 1C, member 2	Homo sapiens	2	2q12.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
SULT2A1	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1	Homo sapiens	19	19q13.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SULT2B1	sulfotransferase family, cytosolic, 2B, member 1	Homo sapiens	19	19q13.3	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
SUMF2	sulfatase modifying factor 2	Homo sapiens	7	7q11.1	6	4	6	2	9	1	3	1	4	5	3	1	2	3	3	7	4	8	10	5	3	4	6	1	3	3	2	3	2	2	1
SUMO1	small ubiquitin-like modifier 1	Homo sapiens	2	2q33	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	0	0	0
SUMO4	small ubiquitin-like modifier 4	Homo sapiens	6	6q25	3	3	4	3	4	4	3	4	4	3	4	5	4	3	5	4	4	4	6	4	3	5	4	5	2	4	4	5	4	3	4
SUN1	Sad1 and UNC84 domain containing 1	Homo sapiens	7	7p22.3	0	1	0	1	18	0	0	0	0	2	0	0	1	0	0	0	0	2	0	1	1	0	3	0	1	0	4	0	0	0	1
SUN2	Sad1 and UNC84 domain containing 2	Homo sapiens	22	22q13.1	4	8	1	5	9	6	4	5	6	7	5	6	4	14	5	8	6	5	6	6	5	6	3	3	6	4	3	2	3	7	6
SUPT16H	suppressor of Ty 16 homolog (S. cerevisiae)	Homo sapiens	14	14q11.2	13	17	5	17	10	20	29	13	15	15	17	18	7	7	16	28	14	16	21	13	14	16	16	13	12	18	16	19	12	10	14
SUPT4H1	suppressor of Ty 4 homolog 1 (S. cerevisiae)	Homo sapiens	17	17q21-q23	0	1	1	0	1	0	2	0	1	0	1	2	1	1	2	1	2	1	0	1	1	2	1	0	0	2	2	0	0	0	1
SUPT5H	suppressor of Ty 5 homolog (S. cerevisiae)	Homo sapiens	19	19q13	2	7	0	4	1	2	3	8	4	3	4	4	2	5	7	7	2	6	8	2	1	0	5	3	0	2	7	6	0	4	0
SUPT6H	suppressor of Ty 6 homolog (S. cerevisiae)	Homo sapiens	17	17q11.2	14	3	3	3	0	3	6	10	3	6	3	4	4	1	2	3	2	5	3	6	0	3	5	5	0	6	4	9	11	2	2
SUPV3L1	suppressor of var1, 3-like 1 (S. cerevisiae)	Homo sapiens	10	10q22.1	5	0	0	1	0	1	6	1	1	1	3	0	4	1	3	6	1	4	1	4	3	1	12	4	0	7	3	4	0	2	0
SURF1	surfeit 1	Homo sapiens	9	9q34.2	2	3	0	1	0	1	5	1	4	1	0	1	2	0	4	4	1	1	1	1	2	1	3	1	0	0	2	0	0	0	1
SURF4	surfeit 4	Homo sapiens	9	9q34.2	4	10	10	13	11	9	6	4	12	7	5	10	5	9	7	7	6	8	7	6	6	10	3	7	7	10	7	6	1	9	1
SURF6	surfeit 6	Homo sapiens	9	9q34.2	5	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	1	0	0	0	3	0	0	1
SUSD2	sushi domain containing 2	Homo sapiens	22	22q11-q12	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
SVIL	supervillin	Homo sapiens	10	10p11.2	1	7	0	2	31	0	5	0	2	1	2	0	0	2	3	4	1	4	4	4	2	0	3	1	56	1	3	0	0	1	8
SWAP70	SWAP switching B-cell complex 70kDa subunit	Homo sapiens	11	11p15	0	3	0	0	15	0	0	1	0	3	1	0	0	4	0	2	2	2	0	1	1	1	3	0	1	1	0	1	1	0	3
SYAP1	synapse associated protein 1	Homo sapiens	X	Xp22.2	1	2	0	1	1	0	1	1	1	0	1	5	6	1	4	2	3	7	2	0	0	1	5	1	2	2	3	1	1	2	1
SYK	spleen tyrosine kinase	Homo sapiens	9	9q22	4	1	1	0	1	0	0	0	0	0	0	1	0	4	1	1	3	4	1	0	1	0	2	0	1	1	1	0	0	0	0
SYMPK	symplekin	Homo sapiens	19	19q13.3	3	6	3	6	2	4	10	5	5	3	2	3	2	3	6	11	3	2	3	3	3	3	7	2	2	0	8	4	2	5	2
SYNC	syncoilin, intermediate filament protein	Homo sapiens	1	1p35.1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein	Homo sapiens	6	6q14-q15	17	30	11	43	25	24	20	22	26	19	18	29	20	25	33	39	25	29	41	21	29	22	26	22	23	24	32	32	19	19	24
SYNE1	spectrin repeat containing, nuclear envelope 1	Homo sapiens	6	6q25	1	0	0	0	2	1	0	0	1	4	0	0	1	3	1	0	1	1	0	3	0	0	0	0	2	1	3	0	1	1	2
SYNE2	spectrin repeat containing, nuclear envelope 2	Homo sapiens	14	14q23.2	11	7	1	8	1	1	19	3	14	4	3	4	2	1	13	14	9	6	11	4	3	0	9	1	2	2	2	9	2	3	4
SYNGR2	synaptogyrin 2	Homo sapiens	17	17q25.3	3	4	6	0	0	3	3	4	5	4	0	7	4	2	5	11	5	8	4	5	3	5	4	2	2	3	4	4	2	1	2
SYNJ2BP	synaptojanin 2 binding protein	Homo sapiens	14	14q24.2	4	2	3	1	2	4	1	2	3	3	3	4	0	1	3	4	3	4	2	1	2	4	1	1	4	3	3	2	3	3	1
SYNM	synemin, intermediate filament protein	Homo sapiens	15	15q26.3	0	24	1	19	0	0	37	0	2	19	0	0	0	0	0	0	0	1	0	0	16	0	0	0	291	0	29	0	0	2	72
SYNPO	synaptopodin	Homo sapiens	5	5q33.1	3	2	0	1	0	0	1	1	2	1	2	0	1	0	3	4	0	3	0	2	2	1	3	1	1	0	0	0	0	0	4
SYNPO2	synaptopodin 2	Homo sapiens	4	4q26	0	28	0	13	0	0	27	1	14	15	1	3	0	3	8	6	1	0	4	1	15	8	11	0	230	0	13	0	4	3	67
SYNRG	synergin, gamma	Homo sapiens	17	17q12	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0
SYPL1	synaptophysin-like 1	Homo sapiens	7	7q22.3	0	3	0	2	2	2	4	2	2	0	1	4	2	2	5	4	2	1	3	1	4	6	3	2	0	3	2	2	3	2	0
SYT7	synaptotagmin VII	Homo sapiens	11	11q12-q13.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0
SYTL1	synaptotagmin-like 1	Homo sapiens	1	1p36.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYTL2	synaptotagmin-like 2	Homo sapiens	11	11q14	0	0	3	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0
SYVN1	synovial apoptosis inhibitor 1, synoviolin	Homo sapiens	11	11q13	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TAB1	TGF-beta activated kinase 1/MAP3K7 binding protein 1	Homo sapiens	22	22q13.1	0	1	0	1	1	1	0	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	3	0	2	0	0	0	0	0	0
TACC1	transforming, acidic coiled-coil containing protein 1	Homo sapiens	8	8p11.22	0	1	0	0	2	0	1	0	5	0	0	0	0	1	2	4	0	0	2	1	0	0	1	0	2	1	0	1	0	1	0
TACC2	transforming, acidic coiled-coil containing protein 2	Homo sapiens	10	10q26	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	2	0	1	0	0	1	1	0	0	0
TACC3	transforming, acidic coiled-coil containing protein 3	Homo sapiens	4	4p16.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TACO1	translational activator of mitochondrially encoded cytochrome c oxidase I	Homo sapiens	17	17q23.3	1	3	0	1	1	2	1	1	2	3	0	0	1	1	2	1	1	4	1	1	2	2	2	0	0	0	2	0	0	0	2
TACSTD2	tumor-associated calcium signal transducer 2	Homo sapiens	1	1p32	0	0	8	0	2	0	2	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa	Homo sapiens	X	Xq13.1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
TAF15	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa	Homo sapiens	17	17q11.1-q11.2	0	2	0	2	0	0	1	1	1	0	0	0	0	0	2	4	0	2	1	0	0	1	1	1	1	0	2	0	0	0	0
TAF1B	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa	Homo sapiens	2	2p25	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TAF4	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa	Homo sapiens	20	20q13.33	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
TAF5	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	Homo sapiens	10	10q24-q25.2	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	1	0
TAF6	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa	Homo sapiens	7	7q22.1	0	0	0	0	0	0	2	0	0	0	1	0	0	1	2	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0
TAGLN	transgelin	Homo sapiens	11	11q23.2	12	417	152	345	57	48	251	102	154	151	45	87	49	172	154	149	61	70	147	108	433	157	199	47	1105	44	263	22	66	70	316
TAGLN2	transgelin 2	Homo sapiens	1	1q21-q25	38	174	100	148	99	58	124	115	109	57	87	104	51	134	107	161	67	101	149	72	261	125	97	56	68	84	122	70	64	80	78
TALDO1	transaldolase 1	Homo sapiens	11	11p15.5-p15.4	8	35	24	42	35	21	37	22	50	33	19	22	22	43	51	68	23	56	30	16	27	18	61	16	20	17	28	24	16	15	23
TAMM41	TAM41, mitochondrial translocator assembly and maintenance protein, homolog (S. cerevisiae)	Homo sapiens	3	3p25.2	1	1	0	0	0	1	0	1	0	1	0	0	2	0	0	1	0	0	0	1	0	0	2	0	0	1	1	1	1	0	0
TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	Homo sapiens	2	2q24.2	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0
TAOK2	TAO kinase 2	Homo sapiens	16	16p11.2	2	0	1	0	2	0	3	1	6	2	0	0	2	1	0	2	0	0	0	1	0	1	1	0	0	1	0	0	1	0	1
TAOK3	TAO kinase 3	Homo sapiens	12	12q	0	1	3	1	0	0	1	0	2	2	1	6	3	1	0	3	2	2	1	2	1	3	2	0	1	0	0	4	0	1	2
TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)	Homo sapiens	6	6p21.3	8	12	9	5	4	14	7	13	22	8	9	13	10	11	9	19	9	5	13	4	6	14	7	11	7	9	7	15	7	13	5
TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	Homo sapiens	6	6p21.3	6	1	3	0	2	11	4	5	13	6	5	2	6	2	4	6	4	0	4	2	3	5	3	6	2	1	2	9	1	4	4
TAPBP	TAP binding protein (tapasin)	Homo sapiens	6	6p21.3	5	6	6	4	4	10	8	9	11	5	5	4	5	5	9	9	4	7	10	5	5	5	8	3	7	2	4	5	1	5	5
TAPBPL	TAP binding protein-like	Homo sapiens	12	12p13.31	0	0	0	0	0	1	4	4	7	0	2	1	0	1	4	1	2	1	2	0	1	0	1	0	0	1	0	2	0	1	0
TARBP1	TAR (HIV-1) RNA binding protein 1	Homo sapiens	1	1q42.3	4	0	0	0	0	0	1	1	0	0	0	2	0	0	0	2	0	0	2	1	1	0	2	0	1	0	0	0	1	0	0
TARDBP	TAR DNA binding protein	Homo sapiens	1	1p36.22	7	3	3	6	5	6	3	2	4	5	3	8	6	9	7	5	4	6	4	5	7	9	4	4	4	9	8	6	9	5	5
TARS1	threonyl-tRNA synthetase	Homo sapiens	5	5p13.2	8	21	11	11	27	19	7	22	14	11	11	33	17	20	15	16	20	19	24	11	12	25	13	11	9	11	24	28	26	9	16
TARS2	threonyl-tRNA synthetase 2, mitochondrial (putative)	Homo sapiens	1	1q21.3	6	11	0	5	0	2	4	5	1	8	2	1	11	0	1	10	4	4	21	5	1	1	11	3	0	1	15	1	2	6	4
TATDN1	TatD DNase domain containing 1	Homo sapiens	8	8q24.13	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	3	1	1	0	1	0	0	3	0	0	0	0	0	0	0	0
TAX1BP3	Tax1 (human T-cell leukemia virus type I) binding protein 3	Homo sapiens	17	17p13	1	2	2	3	2	2	3	4	1	1	2	2	1	2	5	3	2	2	5	2	3	2	3	2	3	2	2	1	2	2	2
TBC1D1	TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1	Homo sapiens	4	4p14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0
TBC1D10B	TBC1 domain family, member 10B	Homo sapiens	16	16p11.2	1	2	0	1	1	1	3	2	1	0	1	1	1	0	3	3	1	1	4	3	0	0	3	0	0	0	1	1	0	0	0
TBC1D13	TBC1 domain family, member 13	Homo sapiens	9	9q34.11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TBC1D15	TBC1 domain family, member 15	Homo sapiens	12	12q21.1	1	4	1	2	4	4	4	3	7	3	2	4	8	3	5	4	4	3	4	4	3	3	2	3	0	5	5	9	4	3	4
TBC1D17	TBC1 domain family, member 17	Homo sapiens	19	19q13.33	0	2	0	2	2	0	0	1	3	1	0	0	0	2	0	2	0	1	0	2	0	0	0	1	2	1	1	1	2	1	1
